adcode,name,longitude,latitude
540500000000,山南市,91.77867514,29.24302694
540600000000,那曲市,92.0573385,31.48243839
542500000000,阿里地区,80.11277692,32.50686602
640100000000,银川市,106.2384936,38.49246006
640200000000,石嘴山市,106.3906004,38.98968284
640300000000,吴忠市,106.2053713,38.00371291
640500000000,中卫市,105.2035709,37.50570142
640400000000,固原市,106.2485774,36.02161726
650100000000,乌鲁木齐市,87.62443994,43.8307632
650200000000,克拉玛依市,84.87429458,45.60847147
650400000000,吐鲁番市,89.19729725,42.95698485
650500000000,哈密市,93.52121554,42.82582437
654000000000,伊犁哈萨克自治州,81.33053775,43.92272314
652700000000,博尔塔拉蒙古自治州,82.07291476,44.91219641
652300000000,昌吉回族自治州,87.31500162,44.01685416
652800000000,巴音郭楞蒙古自治州,86.15171387,41.77028733
653000000000,克孜勒苏柯尔克孜自治州,76.17430868,39.7204712
653200000000,和田地区,79.92850706,37.12044646
652900000000,阿克苏地区,80.26694348,41.17502986
653100000000,喀什地区,75.99639056,39.47609675
654200000000,塔城地区,82.98723552,46.75094825
654300000000,阿勒泰地区,88.1479262,47.85072787
110101000000,东城区,116.422401,39.93482727
110102000000,西城区,116.3725136,39.91812361
110105000000,朝阳区,116.4495587,39.92637452
110106000000,丰台区,116.2924019,39.8649372
110107000000,石景山区,116.2296127,39.91135381
110108000000,海淀区,116.3054341,39.96548984
110109000000,门头沟区,116.1076036,39.94614672
110111000000,房山区,116.1494438,39.75432584
110112000000,通州区,116.6634154,39.91601712
110113000000,顺义区,116.6614243,40.13635076
110114000000,昌平区,116.2376179,40.22641337
110115000000,大兴区,116.3486252,39.73255524
110116000000,怀柔区,116.6383859,40.3226184
110117000000,平谷区,117.1273791,40.14695074
110118000000,密云区,116.849547,40.38217566
110119000000,延庆区,115.9816316,40.46216897
120101000000,和平区,117.221467,39.12339025
120102000000,河东区,117.258413,39.13448733
120103000000,河西区,117.2294163,39.11571808
120104000000,南开区,117.1565154,39.14410528
120105000000,河北区,117.2035928,39.15348514
120106000000,红桥区,117.1575179,39.17328565
120110000000,东丽区,117.3205685,39.09233234
120111000000,西青区,117.0144102,39.14872661
120112000000,津南区,117.3633868,38.94414857
